pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
"O Balanced Scorecard (BSC) é um método de gestão estratégica que busca:";"Simplificar a estrutura organizacional.";"Reduzir a necessidade de indicadores de desempenho.";"Traduzir a missão e a estratégia da instituição em medidas de desempenho.";"Automatizar as tomadas de decisão estratégicas.";"Traduzir a missão e a estratégia da instituição em medidas de desempenho."
"Quais os criadores do Balanced Scorecard?";"Peter Drucker e Michael Porter.";"Robert Kaplan e David Norton.";"Henry Mintzberg e John Kotter.";"C.K. Prahalad e Gary Hamel.";"Robert Kaplan e David Norton."
"O BSC se baseia na análise do desempenho organizacional sob quais perspectivas?";"Financeira, de Marketing, de Produção e de Recursos Humanos.";"Financeira, de Clientes, de Processos Internos e de Aprendizado e Crescimento.";"Estratégica, Tática, Operacional e Individual.";"Forças, Fraquezas, Oportunidades e Ameaças.";"Financeira, de Clientes, de Processos Internos e de Aprendizado e Crescimento."
"Qual a principal crítica do BSC aos métodos tradicionais de gestão que se concentravam apenas em indicadores financeiros?";"A falta de atenção à visão de futuro e aos objetivos de longo prazo.";"A excessiva importância dada aos aspectos humanos e sociais da organização.";"A dificuldade em coletar e analisar dados financeiros de forma confiável.";"A ênfase na inovação e na mudança, em detrimento da estabilidade.";"A falta de atenção à visão de futuro e aos objetivos de longo prazo."
"O uso do BSC pode auxiliar na:";"Centralização das decisões estratégicas, concentrando o poder na alta gerência.";"Eliminação da necessidade de planejamento estratégico, tornando a organização mais ágil.";"Mensuração do progresso da organização em relação às suas metas de longo prazo.";"Redução da importância do feedback dos clientes para a estratégia da organização.";"Mensuração do progresso da organização em relação às suas metas de longo prazo."
"Qual documento define as diretrizes para a gestão de projetos no Comando da Aeronáutica?";"Portaria do Comando da Aeronáutica (PCA).";"Instrução do Comando da Aeronáutica (ICA).";"Diretiva do Comando da Aeronáutica (DCA).";"Manual de Instruções Técnicas (MIT).";"Diretiva do Comando da Aeronáutica (DCA)."
"Qual a sigla do documento que define a Sistemática de Planejamento e Gestão Institucional da Aeronáutica?";"SIGIA";"SPGIA";"SPGIAER";"SIAER";"SPGIA"
"Segundo a Sistemática de Planejamento e Gestão Institucional da Aeronáutica, qual o tipo de projeto que contribui diretamente para o alcance da visão de futuro da instituição?";"Projeto Operacional.";"Projeto estratégico.";"Projeto Tático.";"Projeto Setorial.";"Projeto estratégico."
"Qual documento apresenta a Concepção Estratégica da Força Aérea Brasileira com horizonte temporal de vinte anos?";"DCA 11-1";"PCA 11-47";"DCA 11-45";"PEMAER";"DCA 11-45"
"O que significa a sigla PEMAER?";"Plano Estratégico da Marinha do Brasil.";"Plano de Edificações Militares da Aeronáutica.";"Plano Estratégico Militar da Aeronáutica.";"Plano de Efetivo e Material da Aeronáutica.";"Plano Estratégico Militar da Aeronáutica."
"O PEMAER (Plano Estratégico Militar da Aeronáutica) possui um escopo temporal de quantos anos?";"5 anos.";"10 anos.";"15 anos.";"20 anos.";"10 anos."
"Qual dos projetos abaixo NÃO é citado no PEMAER como um projeto estratégico?";"F-X2 (Gripen NG).";"Centro de Controle de Guaratinguetá.";"KC-390.";"FX-2 (F-5).";"FX-2 (F-5)."
"Qual órgão é responsável pelo planejamento de mais alto nível do COMAER?";"EMAER";"COMGAP";"DIRMOW";"DEPENS";"EMAER"
"No contexto da gestão de projetos na FAB, o que são 'Atividades Setoriais'?";"Atividades administrativas comuns a todos os órgãos da FAB.";"Atividades operacionais realizadas pelos Esquadrões Aéreos.";"Atividades de ensino e pesquisa desenvolvidas pelas escolas da FAB.";"Atividades julgadas prioritárias para o cumprimento da missão de um ODSA.";"Atividades julgadas prioritárias para o cumprimento da missão de um ODSA."
"O que define a sigla BSC?";"Budget and Strategy Control.";"Business Score Control.";"Balanced ScoreCard.";"Budget ScoreCard.";"Balanced ScoreCard."
"Qual sistema informatizado é utilizado pela FAB para a gestão de projetos?";"SPGIA.";"PEMAER.";"GPAER.";"EAP.";"GPAER."
"Qual das alternativas abaixo NÃO representa uma funcionalidade do GPAER?";"Gráfico GANTT.";"Painéis de indicadores.";"Alertas automatizados.";"Gerenciamento de documentos operacionais.";"Gerenciamento de documentos operacionais."
"No GPAER, as fases de um projeto são representadas por:";"Marcos.";"Entregas.";"Subtarefas.";"Tarefas.";"Tarefas."
"Qual interface gráfica é utilizada no GPAER para representar visualmente as fases de um projeto e suas relações de dependência?";"Gráfico de Pareto.";"Diagrama de Ishikawa.";"Estrutura Analítica de Projeto (EAP).";"Fluxograma.";"Estrutura Analítica de Projeto (EAP)."
"O GPAER permite a definição de diferentes perfis de acesso, com permissões específicas para cada tipo de usuário. Qual dos perfis abaixo NÃO é mencionado na apostila?";"Admin.Observador.";"Spvs.Coordenador.";"Gest.Riscos.";"Gest.Projeto.";"Gest.Riscos."